date,city,precipitation,sunshine,templature
1900-01-01,Tokyo,69.2,160.1,1.6
1900-02-01,Tokyo,31.3,174.9,3.1
1900-03-01,Tokyo,69.3,171.5,5.7
1900-04-01,Tokyo,168.6,135.3,11.4
1900-05-01,Tokyo,127.3,219,17.3
1900-06-01,Tokyo,89.4,223.6,19.3
1900-07-01,Tokyo,122.1,137.5,22.8
1900-08-01,Tokyo,66.3,272,26.1
1900-09-01,Tokyo,173.9,165.7,22.6
1900-10-01,Tokyo,113.6,165.2,16.5
1900-11-01,Tokyo,131.9,148.4,11
1900-12-01,Tokyo,25.1,209.2,5.5
1901-01-01,Tokyo,74.4,163.4,4.1
1901-02-01,Tokyo,30.2,208.8,3.7
1901-03-01,Tokyo,131.2,230.1,7.3
1901-04-01,Tokyo,132.6,192.6,13.4
1901-05-01,Tokyo,149.3,191.4,16.1
1901-06-01,Tokyo,172.1,145.7,20.6
1901-07-01,Tokyo,229,122.5,22.1
1901-08-01,Tokyo,53.8,230.4,25.1
1901-09-01,Tokyo,130.8,169.5,22.3
1901-10-01,Tokyo,311.1,128.6,16.8
1901-11-01,Tokyo,63.6,191.8,10.2
1901-12-01,Tokyo,110.8,215.1,4.5
1902-01-01,Tokyo,33.4,241.7,2.4
1902-02-01,Tokyo,20.9,201,3.8
1902-03-01,Tokyo,92.4,184.4,8.4
1902-04-01,Tokyo,140.3,194.2,11.6
1902-05-01,Tokyo,222.7,181.7,16.3
1902-06-01,Tokyo,204.7,181.4,19.8
1902-07-01,Tokyo,159.6,130.6,21.8
1902-08-01,Tokyo,310.3,123.1,22.9
1902-09-01,Tokyo,244.2,126.9,22.6
1902-10-01,Tokyo,104.7,154.8,16.6
1902-11-01,Tokyo,105.1,160.1,11.5
1902-12-01,Tokyo,115.4,154.5,7.1
1903-01-01,Tokyo,122.4,156.9,4.6
1903-02-01,Tokyo,80,176.6,4.1
1903-03-01,Tokyo,165.9,146.4,7.7
1903-04-01,Tokyo,155.5,145.1,12.7
1903-05-01,Tokyo,159,184.7,15.9
1903-06-01,Tokyo,145.4,192.1,19.7
1903-07-01,Tokyo,286.8,154.3,23.2
1903-08-01,Tokyo,22.6,259.3,25.7
1903-09-01,Tokyo,284.4,127.5,22.3
1903-10-01,Tokyo,294.7,119.6,15.2
1903-11-01,Tokyo,130,163.3,9.1
1903-12-01,Tokyo,65.5,207.9,4.1
1904-01-01,Tokyo,7,200.7,1.9
1904-02-01,Tokyo,67.7,156.7,4.3
1904-03-01,Tokyo,101.5,144.2,6.1
1904-04-01,Tokyo,97.3,151.5,13.2
1904-05-01,Tokyo,142.4,159.2,15.7
1904-06-01,Tokyo,91.6,196.4,21.8
1904-07-01,Tokyo,239.4,211.2,24.8
1904-08-01,Tokyo,74.7,269,25.1
1904-09-01,Tokyo,200.5,176.2,21.2
1904-10-01,Tokyo,248.8,126.4,16.4
1904-11-01,Tokyo,14.5,217.3,9.1
1904-12-01,Tokyo,96.4,185.4,5.3
1905-01-01,Tokyo,59.8,178.8,4.3
1905-02-01,Tokyo,47.6,207.8,2.7
1905-03-01,Tokyo,97.9,184.9,5.6
1905-04-01,Tokyo,152.2,151.8,10.9
1905-05-01,Tokyo,131,177.2,16.9
1905-06-01,Tokyo,237.4,89.9,20.8
1905-07-01,Tokyo,94.2,154.9,23.3
1905-08-01,Tokyo,202.5,113.9,22.2
1905-09-01,Tokyo,83.5,167.2,21.9
1905-10-01,Tokyo,70.5,159.2,16.2
1905-11-01,Tokyo,66.8,170.1,10.3
1905-12-01,Tokyo,86.7,133.7,6.8
1906-01-01,Tokyo,62.5,216.8,2.2
1906-02-01,Tokyo,166.7,147.2,2.6
1906-03-01,Tokyo,61.5,205,7.3
1906-04-01,Tokyo,43.5,211.5,12.9
1906-05-01,Tokyo,80.6,231.9,16.3
1906-06-01,Tokyo,165.3,127.8,18.4
1906-07-01,Tokyo,154.9,133.8,23.5
1906-08-01,Tokyo,253.5,179,24.5
1906-09-01,Tokyo,226.4,84.2,19.7
1906-10-01,Tokyo,220.5,146.4,15.1
1906-11-01,Tokyo,61.7,153.4,9.3
1906-12-01,Tokyo,22.4,191.9,5.9
1907-01-01,Tokyo,47.1,136.4,4
1907-02-01,Tokyo,4.4,192.6,2.9
1907-03-01,Tokyo,144.1,152,5.6
1907-04-01,Tokyo,143.8,189.4,12.4
1907-05-01,Tokyo,168.1,236,17.1
1907-06-01,Tokyo,169.8,154.9,19.2
1907-07-01,Tokyo,102.9,187.7,22.7
1907-08-01,Tokyo,219,196.4,25.8
1907-09-01,Tokyo,265.9,159.9,21.3
1907-10-01,Tokyo,226.2,202.4,15.2
1907-11-01,Tokyo,127.6,124.9,11.2
1907-12-01,Tokyo,21.5,207.1,4.5
1908-01-01,Tokyo,28.3,194.7,3.2
1908-02-01,Tokyo,35.6,187.9,3.4
1908-03-01,Tokyo,137,150.9,6.2
1908-04-01,Tokyo,185.3,173.1,12.3
1908-05-01,Tokyo,147.8,217.6,16.1
1908-06-01,Tokyo,219,168.8,20.9
1908-07-01,Tokyo,152.8,146.1,22.1
1908-08-01,Tokyo,223.6,227,25.4
1908-09-01,Tokyo,370.6,118.8,19.4
1908-10-01,Tokyo,116.5,153.8,16.1
1908-11-01,Tokyo,14.8,218.1,9.1
1908-12-01,Tokyo,60.8,195.9,4.6
1909-01-01,Tokyo,103.9,148.2,2.1
1909-02-01,Tokyo,32,194.5,3.1
1909-03-01,Tokyo,196.6,136.9,6.3
1909-04-01,Tokyo,140.3,215.5,13.6
1909-05-01,Tokyo,178.1,208.3,16.9
1909-06-01,Tokyo,172.6,103.8,20.2
1909-07-01,Tokyo,118.3,197.8,24.3
1909-08-01,Tokyo,92.2,212.2,25.2
1909-09-01,Tokyo,346.5,130.9,21.8
1909-10-01,Tokyo,57.8,149,14.8
1909-11-01,Tokyo,72.6,178.8,10
1909-12-01,Tokyo,0.8,209,4.6
1910-01-01,Tokyo,119.8,111.7,4.2
1910-02-01,Tokyo,45.1,206.5,2.9
1910-03-01,Tokyo,70.2,184.5,6.1
1910-04-01,Tokyo,79.3,197.3,12.3
1910-05-01,Tokyo,176.2,171,16.8
1910-06-01,Tokyo,112.6,127.3,20.7
1910-07-01,Tokyo,147.2,110.3,23
1910-08-01,Tokyo,419.9,139.3,24.1
1910-09-01,Tokyo,201.4,107.7,20.9
1910-10-01,Tokyo,307.9,108.6,16.1
1910-11-01,Tokyo,46.9,189.4,10.4
1910-12-01,Tokyo,24.2,194,4.3
1911-01-01,Tokyo,97.5,166.1,2.5
1911-02-01,Tokyo,30.7,169.3,5.2
1911-03-01,Tokyo,117.6,152.3,8.2
1911-04-01,Tokyo,130.1,211.2,13.8
1911-05-01,Tokyo,101.2,222.1,16.2
1911-06-01,Tokyo,274.5,130.8,20.8
1911-07-01,Tokyo,304.6,172,24.5
1911-08-01,Tokyo,400.5,201.7,25.6
1911-09-01,Tokyo,173.5,146.5,22.6
1911-10-01,Tokyo,150.8,136.5,15.8
1911-11-01,Tokyo,53.7,173.8,12.8
1911-12-01,Tokyo,32.2,172.9,5
1912-01-01,Tokyo,49.9,219.2,3
1912-02-01,Tokyo,120.1,174.6,6.2
1912-03-01,Tokyo,115.6,166.5,8.1
1912-04-01,Tokyo,142,216.8,13
1912-05-01,Tokyo,106.1,210.6,16.7
1912-06-01,Tokyo,264.1,162.8,20.1
1912-07-01,Tokyo,152.7,172.7,24.3
1912-08-01,Tokyo,67.9,223.7,25.2
1912-09-01,Tokyo,400.7,78.4,20.2
1912-10-01,Tokyo,107.5,140.2,15.9
1912-11-01,Tokyo,106.1,128.5,9.4
1912-12-01,Tokyo,101.6,133.3,4.7
1913-01-01,Tokyo,61.1,205.7,1.9
1913-02-01,Tokyo,82.5,153.1,4.5
1913-03-01,Tokyo,45.1,216.5,6.2
1913-04-01,Tokyo,68,158.5,13.6
1913-05-01,Tokyo,187,224.8,16.1
1913-06-01,Tokyo,149.4,156,20.3
1913-07-01,Tokyo,88.3,156,23.3
1913-08-01,Tokyo,252.2,211.2,23.8
1913-09-01,Tokyo,262.3,138.1,20
1913-10-01,Tokyo,244.9,120.1,15.6
1913-11-01,Tokyo,106.8,152.1,10
1913-12-01,Tokyo,49.4,201.7,5.2
1914-01-01,Tokyo,23.5,223.7,4.3
1914-02-01,Tokyo,64.9,165.6,3.5
1914-03-01,Tokyo,197,148.4,8.8
1914-04-01,Tokyo,178.2,209.4,11.8
1914-05-01,Tokyo,193.7,186.7,17.8
1914-06-01,Tokyo,124.7,172.7,21.5
1914-07-01,Tokyo,26,218.7,25.5
1914-08-01,Tokyo,278,263.2,26.4
1914-09-01,Tokyo,355.4,169.9,22.5
1914-10-01,Tokyo,151.8,210.3,16.1
1914-11-01,Tokyo,54,152.6,11.9
1914-12-01,Tokyo,47.2,193.7,5.8
1915-01-01,Tokyo,94,169.2,3.3
1915-02-01,Tokyo,141.2,130.8,4.1
1915-03-01,Tokyo,106.3,217.8,6.6
1915-04-01,Tokyo,211.1,134.2,11.6
1915-05-01,Tokyo,153.8,212.8,15.9
1915-06-01,Tokyo,241.6,169.9,21.9
1915-07-01,Tokyo,19.5,221.3,24.2
1915-08-01,Tokyo,326.1,138.5,25.7
1915-09-01,Tokyo,213,132.7,22.7
1915-10-01,Tokyo,317.4,126.4,17.6
1915-11-01,Tokyo,84.8,147.9,11.1
1915-12-01,Tokyo,17.9,206.3,5.6
1916-01-01,Tokyo,27.5,194.1,5.1
1916-02-01,Tokyo,139,155.4,4.1
1916-03-01,Tokyo,61.1,178.6,5.8
1916-04-01,Tokyo,113.8,157.3,12.7
1916-05-01,Tokyo,135.2,188.6,16.9
1916-06-01,Tokyo,141.1,201.6,22.7
1916-07-01,Tokyo,319.2,160.4,23.9
1916-08-01,Tokyo,202.8,163.4,25
1916-09-01,Tokyo,170.6,170.9,23.7
1916-10-01,Tokyo,301.5,87.5,15.8
1916-11-01,Tokyo,267.9,134.5,11.3
1916-12-01,Tokyo,51.1,157.5,6.8
1917-01-01,Tokyo,33,213.9,2.3
1917-02-01,Tokyo,15.5,202.3,4.5
1917-03-01,Tokyo,170.2,187.4,6.5
1917-04-01,Tokyo,80.5,210.9,12.7
1917-05-01,Tokyo,72.3,238.3,15.8
1917-06-01,Tokyo,177.4,152,19.6
1917-07-01,Tokyo,17,240.7,25.7
1917-08-01,Tokyo,45.3,186.8,25
1917-09-01,Tokyo,255.4,85.3,22
1917-10-01,Tokyo,355.2,112.2,16.8
1917-11-01,Tokyo,81.7,184.9,8.7
1917-12-01,Tokyo,4.4,231,4
1918-01-01,Tokyo,10,219.2,1.6
1918-02-01,Tokyo,64.9,168.1,3.6
1918-03-01,Tokyo,162.9,202.1,6.7
1918-04-01,Tokyo,107.9,168.9,11.7
